task,metric,stage_transition,pdk,value,kind,src_line
Total wirelength (u m),MAE,detailed place to detailed route,ASAP7,"3,479.88",VAL,20
Total wirelength (u m),MAE,CTS to detailed route,NG45,"13,920.52",VAL,20
Total wirelength (u m),MAE,CTS to detailed route,SKY130,"40,751.29",VAL,20
Total wirelength (u m),MAE,CTS to detailed route,IHP130,"26,046.32",VAL,20
Total wirelength (u m),MAE,CTS to detailed route,ASAP7,"2,562.35",VAL,20
Total wirelength (u m),MAE,global route to detailed route,NG45,"13,698.67",VAL,20
Total wirelength (u m),MAE,global route to detailed route,SKY130,"38,941.02",VAL,20
Total wirelength (u m),MAE,global route to detailed route,IHP130,"25,473.38",VAL,20
Total wirelength (u m),MAE,global route to detailed route,ASAP7,"2,491.87",VAL,20
Total wirelength (u m),MAPE,floorplan to detailed route,NG45,,VOID,21
Total wirelength (u m),MAPE,floorplan to detailed route,SKY130,,VOID,21
Total wirelength (u m),MAPE,floorplan to detailed route,IHP130,,VOID,21
Total wirelength (u m),MAPE,floorplan to detailed route,ASAP7,,VOID,21
Total wirelength (u m),MAPE,global place to detailed route,NG45,29.21 %,VAL,21
Total wirelength (u m),MAPE,global place to detailed route,SKY130,34.24 %,VAL,21
Total wirelength (u m),MAPE,global place to detailed route,IHP130,24.43 %,VAL,21
Total wirelength (u m),MAPE,global place to detailed route,ASAP7,17.17 %,VAL,21
Total wirelength (u m),MAPE,detailed place to detailed route,NG45,19.61 %,VAL,21
Total wirelength (u m),MAPE,detailed place to detailed route,SKY130,24.30 %,VAL,21
Total wirelength (u m),MAPE,detailed place to detailed route,IHP130,11.49 %,VAL,21
Total wirelength (u m),MAPE,detailed place to detailed route,ASAP7,7.05 %,VAL,21
Total wirelength (u m),MAPE,CTS to detailed route,NG45,13.16 %,VAL,21
Total wirelength (u m),MAPE,CTS to detailed route,SKY130,16.18 %,VAL,21
Total wirelength (u m),MAPE,CTS to detailed route,IHP130,5.51 %,VAL,21
Total wirelength (u m),MAPE,CTS to detailed route,ASAP7,3.40 %,VAL,21
Total wirelength (u m),MAPE,global route to detailed route,NG45,12.53 %,VAL,21
Total wirelength (u m),MAPE,global route to detailed route,SKY130,14.86 %,VAL,21
Total wirelength (u m),MAPE,global route to detailed route,IHP130,5.33 %,VAL,21
Total wirelength (u m),MAPE,global route to detailed route,ASAP7,3.28 %,VAL,21
Total wirelength (u m),R^2,floorplan to detailed route,NG45,,VOID,22
Total wirelength (u m),R^2,floorplan to detailed route,SKY130,,VOID,22
Total wirelength (u m),R^2,floorplan to detailed route,IHP130,,VOID,22
Total wirelength (u m),R^2,floorplan to detailed route,ASAP7,,VOID,22
Total wirelength (u m),R^2,global place to detailed route,NG45,0.916,VAL,22
Total wirelength (u m),R^2,global place to detailed route,SKY130,0.902,VAL,22
Total wirelength (u m),R^2,global place to detailed route,IHP130,0.928,VAL,22
Total wirelength (u m),R^2,global place to detailed route,ASAP7,0.987,VAL,22
Total wirelength (u m),R^2,detailed place to detailed route,NG45,0.959,VAL,22
Total wirelength (u m),R^2,detailed place to detailed route,SKY130,0.939,VAL,22
Total wirelength (u m),R^2,detailed place to detailed route,IHP130,0.977,VAL,22
Total wirelength (u m),R^2,detailed place to detailed route,ASAP7,0.995,VAL,22
Total wirelength (u m),R^2,CTS to detailed route,NG45,0.980,VAL,22
Total wirelength (u m),R^2,CTS to detailed route,SKY130,0.975,VAL,22
Total wirelength (u m),R^2,CTS to detailed route,IHP130,0.996,VAL,22
Total wirelength (u m),R^2,CTS to detailed route,ASAP7,0.997,VAL,22
Total wirelength (u m),R^2,global route to detailed route,NG45,0.981,VAL,22
Total wirelength (u m),R^2,global route to detailed route,SKY130,0.977,VAL,22
Total wirelength (u m),R^2,global route to detailed route,IHP130,0.996,VAL,22
Total wirelength (u m),R^2,global route to detailed route,ASAP7,0.997,VAL,22
Interconnect length (u m),MAE,floorplan to detailed route,NG45,,VOID,23
Interconnect length (u m),MAE,floorplan to detailed route,SKY130,,VOID,23
Interconnect length (u m),MAE,floorplan to detailed route,IHP130,,VOID,23
Interconnect length (u m),MAE,floorplan to detailed route,ASAP7,,VOID,23
Interconnect length (u m),MAE,global place to detailed route,NG45,4.83,VAL,23
Interconnect length (u m),MAE,global place to detailed route,SKY130,12.41,VAL,23
Interconnect length (u m),MAE,global place to detailed route,IHP130,13.19,VAL,23
Interconnect length (u m),MAE,global place to detailed route,ASAP7,1.45,VAL,23
Interconnect length (u m),MAE,detailed place to detailed route,NG45,4.13,VAL,23
Interconnect length (u m),MAE,detailed place to detailed route,SKY130,11.8,VAL,23
Interconnect length (u m),MAE,detailed place to detailed route,IHP130,11.09,VAL,23
