task,metric,stage_transition,pdk,value,kind,src_line
Timing Path Slack (ns),MPE,CTS to detailed route,NG45,0.0125,VAL,47
Timing Path Slack (ns),MPE,CTS to detailed route,SKY130,0.0351,VAL,47
Timing Path Slack (ns),MPE,CTS to detailed route,IHP130,0.0159,VAL,47
Timing Path Slack (ns),MPE,CTS to detailed route,ASAP7,0.0080,VAL,47
Timing Path Slack (ns),MPE,global route to detailed route,NG45,,DEGENERATE,47
Timing Path Slack (ns),MPE,global route to detailed route,SKY130,,DEGENERATE,47
Timing Path Slack (ns),MPE,global route to detailed route,IHP130,,DEGENERATE,47
Timing Path Slack (ns),MPE,global route to detailed route,ASAP7,,DEGENERATE,47
Timing Path Slack (ns),MNE,floorplan to detailed route,NG45,0.2749,VAL,48
Timing Path Slack (ns),MNE,floorplan to detailed route,SKY130,2.8765,VAL,48
Timing Path Slack (ns),MNE,floorplan to detailed route,IHP130,2.8290,VAL,48
Timing Path Slack (ns),MNE,floorplan to detailed route,ASAP7,0.0222,VAL,48
Timing Path Slack (ns),MNE,global place to detailed route,NG45,0.0641,VAL,48
Timing Path Slack (ns),MNE,global place to detailed route,SKY130,0.4140,VAL,48
Timing Path Slack (ns),MNE,global place to detailed route,IHP130,0.1082,VAL,48
Timing Path Slack (ns),MNE,global place to detailed route,ASAP7,0.0203,VAL,48
Timing Path Slack (ns),MNE,detailed place to detailed route,NG45,0.0273,VAL,48
Timing Path Slack (ns),MNE,detailed place to detailed route,SKY130,0.5783,VAL,48
Timing Path Slack (ns),MNE,detailed place to detailed route,IHP130,0.1349,VAL,48
Timing Path Slack (ns),MNE,detailed place to detailed route,ASAP7,0.0296,VAL,48
Timing Path Slack (ns),MNE,CTS to detailed route,NG45,0.0217,VAL,48
Timing Path Slack (ns),MNE,CTS to detailed route,SKY130,0.1342,VAL,48
Timing Path Slack (ns),MNE,CTS to detailed route,IHP130,0.0167,VAL,48
Timing Path Slack (ns),MNE,CTS to detailed route,ASAP7,0.0149,VAL,48
Timing Path Slack (ns),MNE,global route to detailed route,NG45,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,48
Timing Path Slack (ns),MNE,global route to detailed route,SKY130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,48
Timing Path Slack (ns),MNE,global route to detailed route,IHP130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,48
Timing Path Slack (ns),MNE,global route to detailed route,ASAP7,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,48
Timing Path Slack (ns),TPR,floorplan to detailed route,NG45,98.01 %,VAL,49
Timing Path Slack (ns),TPR,floorplan to detailed route,SKY130,96.65 %,VAL,49
Timing Path Slack (ns),TPR,floorplan to detailed route,IHP130,74.89 %,VAL,49
Timing Path Slack (ns),TPR,floorplan to detailed route,ASAP7,70.21 %,VAL,49
Timing Path Slack (ns),TPR,global place to detailed route,NG45,96.50 %,VAL,49
Timing Path Slack (ns),TPR,global place to detailed route,SKY130,98.01 %,VAL,49
Timing Path Slack (ns),TPR,global place to detailed route,IHP130,74.19 %,VAL,49
Timing Path Slack (ns),TPR,global place to detailed route,ASAP7,83.93 %,VAL,49
Timing Path Slack (ns),TPR,detailed place to detailed route,NG45,94.90 %,VAL,49
Timing Path Slack (ns),TPR,detailed place to detailed route,SKY130,97.61 %,VAL,49
Timing Path Slack (ns),TPR,detailed place to detailed route,IHP130,73.80 %,VAL,49
Timing Path Slack (ns),TPR,detailed place to detailed route,ASAP7,85.13 %,VAL,49
Timing Path Slack (ns),TPR,CTS to detailed route,NG45,93.04 %,VAL,49
Timing Path Slack (ns),TPR,CTS to detailed route,SKY130,95.99 %,VAL,49
Timing Path Slack (ns),TPR,CTS to detailed route,IHP130,84.56 %,VAL,49
Timing Path Slack (ns),TPR,CTS to detailed route,ASAP7,95.92 %,VAL,49
Timing Path Slack (ns),TPR,global route to detailed route,NG45,100.00 %,VAL,49
Timing Path Slack (ns),TPR,global route to detailed route,SKY130,100.00 %,VAL,49
Timing Path Slack (ns),TPR,global route to detailed route,IHP130,100.00 %,VAL,49
Timing Path Slack (ns),TPR,global route to detailed route,ASAP7,100.00 %,VAL,49
Timing Path Slack (ns),TNR,floorplan to detailed route,NG45,88.69 %,VAL,50
Timing Path Slack (ns),TNR,floorplan to detailed route,SKY130,77.61 %,VAL,50
Timing Path Slack (ns),TNR,floorplan to detailed route,IHP130,93.99 %,VAL,50
Timing Path Slack (ns),TNR,floorplan to detailed route,ASAP7,99.96 %,VAL,50
Timing Path Slack (ns),TNR,global place to detailed route,NG45,96.00 %,VAL,50
Timing Path Slack (ns),TNR,global place to detailed route,SKY130,90.69 %,VAL,50
Timing Path Slack (ns),TNR,global place to detailed route,IHP130,99.93 %,VAL,50
Timing Path Slack (ns),TNR,global place to detailed route,ASAP7,98.69 %,VAL,50
Timing Path Slack (ns),TNR,detailed place to detailed route,NG45,97.65 %,VAL,50
Timing Path Slack (ns),TNR,detailed place to detailed route,SKY130,89.43 %,VAL,50
Timing Path Slack (ns),TNR,detailed place to detailed route,IHP130,99.92 %,VAL,50
Timing Path Slack (ns),TNR,detailed place to detailed route,ASAP7,98.56 %,VAL,50
Timing Path Slack (ns),TNR,CTS to detailed route,NG45,99.63 %,VAL,50
Timing Path Slack (ns),TNR,CTS to detailed route,SKY130,98.34 %,VAL,50
Timing Path Slack (ns),TNR,CTS to detailed route,IHP130,99.99 %,VAL,50
Timing Path Slack (ns),TNR,CTS to detailed route,ASAP7,99.73 %,VAL,50
Timing Path Slack (ns),TNR,global route to detailed route,NG45,100.00 %,VAL,50
Timing Path Slack (ns),TNR,global route to detailed route,SKY130,100.00 %,VAL,50
Timing Path Slack (ns),TNR,global route to detailed route,IHP130,100.00 %,VAL,50
Timing Path Slack (ns),TNR,global route to detailed route,ASAP7,100.00 %,VAL,50
Net Arc Delay (ns),MAE,floorplan to detailed route,NG45,0.1128,VAL,51
Net Arc Delay (ns),MAE,floorplan to detailed route,SKY130,0.7713,VAL,51
Net Arc Delay (ns),MAE,floorplan to detailed route,IHP130,0.4259,VAL,51
Net Arc Delay (ns),MAE,floorplan to detailed route,ASAP7,0.0105,VAL,51
Net Arc Delay (ns),MAE,global place to detailed route,NG45,0.0200,VAL,51
Net Arc Delay (ns),MAE,global place to detailed route,SKY130,0.0631,VAL,51
Net Arc Delay (ns),MAE,global place to detailed route,IHP130,0.0306,VAL,51
Net Arc Delay (ns),MAE,global place to detailed route,ASAP7,0.0066,VAL,51
Net Arc Delay (ns),MAE,detailed place to detailed route,NG45,0.0122,VAL,51
Net Arc Delay (ns),MAE,detailed place to detailed route,SKY130,0.0466,VAL,51
Net Arc Delay (ns),MAE,detailed place to detailed route,IHP130,0.0165,VAL,51
Net Arc Delay (ns),MAE,detailed place to detailed route,ASAP7,0.0039,VAL,51
Net Arc Delay (ns),MAE,CTS to detailed route,NG45,0.0005,VAL,51
Net Arc Delay (ns),MAE,CTS to detailed route,SKY130,0.0046,VAL,51
Net Arc Delay (ns),MAE,CTS to detailed route,IHP130,0.0004,VAL,51
Net Arc Delay (ns),MAE,CTS to detailed route,ASAP7,0.0002,VAL,51
Net Arc Delay (ns),MAE,global route to detailed route,NG45,0.0000,VAL,51
Net Arc Delay (ns),MAE,global route to detailed route,SKY130,0.0000,VAL,51
Net Arc Delay (ns),MAE,global route to detailed route,IHP130,0.0000,VAL,51
Net Arc Delay (ns),MAE,global route to detailed route,ASAP7,0.0000,VAL,51
Net Arc Delay (ns),MAPE,floorplan to detailed route,NG45,> 10000 %,VAL,52
Net Arc Delay (ns),MAPE,floorplan to detailed route,SKY130,403.06 %,VAL,52
Net Arc Delay (ns),MAPE,floorplan to detailed route,IHP130,547.23 %,VAL,52
Net Arc Delay (ns),MAPE,floorplan to detailed route,ASAP7,39.38 %,VAL,52
Net Arc Delay (ns),MAPE,global place to detailed route,NG45,> 10000 %,VAL,52
Net Arc Delay (ns),MAPE,global place to detailed route,SKY130,28.21 %,VAL,52
Net Arc Delay (ns),MAPE,global place to detailed route,IHP130,31.14 %,VAL,52
Net Arc Delay (ns),MAPE,global place to detailed route,ASAP7,20.69 %,VAL,52
Net Arc Delay (ns),MAPE,detailed place to detailed route,NG45,> 10000 %,VAL,52
Net Arc Delay (ns),MAPE,detailed place to detailed route,SKY130,19.99 %,VAL,52
Net Arc Delay (ns),MAPE,detailed place to detailed route,IHP130,8.91 %,VAL,52
Net Arc Delay (ns),MAPE,detailed place to detailed route,ASAP7,11.16 %,VAL,52
Net Arc Delay (ns),MAPE,CTS to detailed route,NG45,> 10000 %,VAL,52
Net Arc Delay (ns),MAPE,CTS to detailed route,SKY130,2.36 %,VAL,52
Net Arc Delay (ns),MAPE,CTS to detailed route,IHP130,0.32 %,VAL,52
Net Arc Delay (ns),MAPE,CTS to detailed route,ASAP7,0.95 %,VAL,52
Net Arc Delay (ns),MAPE,global route to detailed route,NG45,0.00 %,VAL,52
Net Arc Delay (ns),MAPE,global route to detailed route,SKY130,0.00 %,VAL,52
Net Arc Delay (ns),MAPE,global route to detailed route,IHP130,0.00 %,VAL,52
Net Arc Delay (ns),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,52
Net Arc Delay (ns),R^2,floorplan to detailed route,NG45,< -1,VAL,53
Net Arc Delay (ns),R^2,floorplan to detailed route,SKY130,< -1,VAL,53
Net Arc Delay (ns),R^2,floorplan to detailed route,IHP130,< -1,VAL,53
Net Arc Delay (ns),R^2,floorplan to detailed route,ASAP7,< -1,VAL,53
Net Arc Delay (ns),R^2,global place to detailed route,NG45,< -1,VAL,53
Net Arc Delay (ns),R^2,global place to detailed route,SKY130,-0.029,VAL,53
Net Arc Delay (ns),R^2,global place to detailed route,IHP130,< -1,VAL,53
Net Arc Delay (ns),R^2,global place to detailed route,ASAP7,-0.402,VAL,53
Net Arc Delay (ns),R^2,detailed place to detailed route,NG45,-0.024,VAL,53
Net Arc Delay (ns),R^2,detailed place to detailed route,SKY130,0.748,VAL,53
Net Arc Delay (ns),R^2,detailed place to detailed route,IHP130,0.876,VAL,53
Net Arc Delay (ns),R^2,detailed place to detailed route,ASAP7,0.777,VAL,53
Net Arc Delay (ns),R^2,CTS to detailed route,NG45,0.976,VAL,53
Net Arc Delay (ns),R^2,CTS to detailed route,SKY130,0.981,VAL,53
Net Arc Delay (ns),R^2,CTS to detailed route,IHP130,0.999,VAL,53
Net Arc Delay (ns),R^2,CTS to detailed route,ASAP7,0.979,VAL,53
Net Arc Delay (ns),R^2,global route to detailed route,NG45,1.000,VAL,53
Net Arc Delay (ns),R^2,global route to detailed route,SKY130,1.000,VAL,53
Net Arc Delay (ns),R^2,global route to detailed route,IHP130,1.000,VAL,53
Net Arc Delay (ns),R^2,global route to detailed route,ASAP7,1.000,VAL,53
Cell Arc Delay (ns),MAE,floorplan to detailed route,NG45,0.0011,VAL,54
Cell Arc Delay (ns),MAE,floorplan to detailed route,SKY130,0.0031,VAL,54
Cell Arc Delay (ns),MAE,floorplan to detailed route,IHP130,0.0003,VAL,54
Cell Arc Delay (ns),MAE,floorplan to detailed route,ASAP7,0.0018,VAL,54
Cell Arc Delay (ns),MAE,global place to detailed route,NG45,0.0008,VAL,54
Cell Arc Delay (ns),MAE,global place to detailed route,SKY130,0.0016,VAL,54
Cell Arc Delay (ns),MAE,global place to detailed route,IHP130,0.0002,VAL,54
Cell Arc Delay (ns),MAE,global place to detailed route,ASAP7,0.0003,VAL,54
Cell Arc Delay (ns),MAE,detailed place to detailed route,NG45,0.0009,VAL,54
Cell Arc Delay (ns),MAE,detailed place to detailed route,SKY130,0.0013,VAL,54
Cell Arc Delay (ns),MAE,detailed place to detailed route,IHP130,0.0001,VAL,54
Cell Arc Delay (ns),MAE,detailed place to detailed route,ASAP7,0.0002,VAL,54
Cell Arc Delay (ns),MAE,CTS to detailed route,NG45,0.0001,VAL,54
Cell Arc Delay (ns),MAE,CTS to detailed route,SKY130,0.0003,VAL,54
Cell Arc Delay (ns),MAE,CTS to detailed route,IHP130,0.0000,VAL,54
Cell Arc Delay (ns),MAE,CTS to detailed route,ASAP7,0.0000,VAL,54
Cell Arc Delay (ns),MAE,global route to detailed route,NG45,0.0000,VAL,54
Cell Arc Delay (ns),MAE,global route to detailed route,SKY130,0.0000,VAL,54
Cell Arc Delay (ns),MAE,global route to detailed route,IHP130,0.0000,VAL,54
Cell Arc Delay (ns),MAE,global route to detailed route,ASAP7,0.0000,VAL,54
Cell Arc Delay (ns),MAPE,floorplan to detailed route,NG45,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,floorplan to detailed route,SKY130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,floorplan to detailed route,IHP130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,floorplan to detailed route,ASAP7,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,global place to detailed route,NG45,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,global place to detailed route,SKY130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,global place to detailed route,IHP130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,global place to detailed route,ASAP7,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,detailed place to detailed route,NG45,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,detailed place to detailed route,SKY130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,detailed place to detailed route,IHP130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,detailed place to detailed route,ASAP7,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,CTS to detailed route,NG45,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,CTS to detailed route,SKY130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,CTS to detailed route,IHP130,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,CTS to detailed route,ASAP7,> 10000 %,VAL,55
Cell Arc Delay (ns),MAPE,global route to detailed route,NG45,0.00 %,VAL,55
Cell Arc Delay (ns),MAPE,global route to detailed route,SKY130,0.00 %,VAL,55
Cell Arc Delay (ns),MAPE,global route to detailed route,IHP130,0.00 %,VAL,55
Cell Arc Delay (ns),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,55
Cell Arc Delay (ns),R^2,floorplan to detailed route,NG45,-0.308,VAL,56
Cell Arc Delay (ns),R^2,floorplan to detailed route,SKY130,< -1,VAL,56
Cell Arc Delay (ns),R^2,floorplan to detailed route,IHP130,< -1,VAL,56
Cell Arc Delay (ns),R^2,floorplan to detailed route,ASAP7,-0.141,VAL,56
Cell Arc Delay (ns),R^2,global place to detailed route,NG45,0.928,VAL,56
Cell Arc Delay (ns),R^2,global place to detailed route,SKY130,0.873,VAL,56
Cell Arc Delay (ns),R^2,global place to detailed route,IHP130,0.641,VAL,56
Cell Arc Delay (ns),R^2,global place to detailed route,ASAP7,0.851,VAL,56
Cell Arc Delay (ns),R^2,detailed place to detailed route,NG45,0.875,VAL,56
Cell Arc Delay (ns),R^2,detailed place to detailed route,SKY130,0.894,VAL,56
Cell Arc Delay (ns),R^2,detailed place to detailed route,IHP130,0.657,VAL,56
Cell Arc Delay (ns),R^2,detailed place to detailed route,ASAP7,0.925,VAL,56
Cell Arc Delay (ns),R^2,CTS to detailed route,NG45,0.987,VAL,56
Cell Arc Delay (ns),R^2,CTS to detailed route,SKY130,0.974,VAL,56
Cell Arc Delay (ns),R^2,CTS to detailed route,IHP130,0.975,VAL,56
Cell Arc Delay (ns),R^2,CTS to detailed route,ASAP7,0.952,VAL,56
Cell Arc Delay (ns),R^2,global route to detailed route,NG45,1.000,VAL,56
Cell Arc Delay (ns),R^2,global route to detailed route,SKY130,1.000,VAL,56
Cell Arc Delay (ns),R^2,global route to detailed route,IHP130,1.000,VAL,56
Cell Arc Delay (ns),R^2,global route to detailed route,ASAP7,1.000,VAL,56
Cell Arc Slew (ns),MAE,floorplan to detailed route,NG45,0.0761,VAL,57
Cell Arc Slew (ns),MAE,floorplan to detailed route,SKY130,0.8919,VAL,57
Cell Arc Slew (ns),MAE,floorplan to detailed route,IHP130,0.4735,VAL,57
Cell Arc Slew (ns),MAE,floorplan to detailed route,ASAP7,0.0152,VAL,57
Cell Arc Slew (ns),MAE,global place to detailed route,NG45,0.0082,VAL,57
Cell Arc Slew (ns),MAE,global place to detailed route,SKY130,0.0415,VAL,57
Cell Arc Slew (ns),MAE,global place to detailed route,IHP130,0.0059,VAL,57
Cell Arc Slew (ns),MAE,global place to detailed route,ASAP7,0.0026,VAL,57
Cell Arc Slew (ns),MAE,detailed place to detailed route,NG45,0.0028,VAL,57
Cell Arc Slew (ns),MAE,detailed place to detailed route,SKY130,0.0392,VAL,57
Cell Arc Slew (ns),MAE,detailed place to detailed route,IHP130,0.0011,VAL,57
Cell Arc Slew (ns),MAE,detailed place to detailed route,ASAP7,0.0017,VAL,57
Cell Arc Slew (ns),MAE,CTS to detailed route,NG45,0.0003,VAL,57
Cell Arc Slew (ns),MAE,CTS to detailed route,SKY130,0.0054,VAL,57
Cell Arc Slew (ns),MAE,CTS to detailed route,IHP130,0.0004,VAL,57
Cell Arc Slew (ns),MAE,CTS to detailed route,ASAP7,0.0003,VAL,57
Cell Arc Slew (ns),MAE,global route to detailed route,NG45,0.0000,VAL,57
Cell Arc Slew (ns),MAE,global route to detailed route,SKY130,0.0000,VAL,57
Cell Arc Slew (ns),MAE,global route to detailed route,IHP130,0.0000,VAL,57
Cell Arc Slew (ns),MAE,global route to detailed route,ASAP7,0.0000,VAL,57
Cell Arc Slew (ns),MAPE,floorplan to detailed route,NG45,183.03 %,VAL,58
Cell Arc Slew (ns),MAPE,floorplan to detailed route,SKY130,462.31 %,VAL,58
Cell Arc Slew (ns),MAPE,floorplan to detailed route,IHP130,1134.69 %,VAL,58
Cell Arc Slew (ns),MAPE,floorplan to detailed route,ASAP7,34.33 %,VAL,58
Cell Arc Slew (ns),MAPE,global place to detailed route,NG45,27.44 %,VAL,58
Cell Arc Slew (ns),MAPE,global place to detailed route,SKY130,37.69 %,VAL,58
Cell Arc Slew (ns),MAPE,global place to detailed route,IHP130,11.05 %,VAL,58
Cell Arc Slew (ns),MAPE,global place to detailed route,ASAP7,7.44 %,VAL,58
Cell Arc Slew (ns),MAPE,detailed place to detailed route,NG45,13.43 %,VAL,58
Cell Arc Slew (ns),MAPE,detailed place to detailed route,SKY130,35.60 %,VAL,58
Cell Arc Slew (ns),MAPE,detailed place to detailed route,IHP130,2.05 %,VAL,58
Cell Arc Slew (ns),MAPE,detailed place to detailed route,ASAP7,5.89 %,VAL,58
Cell Arc Slew (ns),MAPE,CTS to detailed route,NG45,1.27 %,VAL,58
Cell Arc Slew (ns),MAPE,CTS to detailed route,SKY130,4.66 %,VAL,58
Cell Arc Slew (ns),MAPE,CTS to detailed route,IHP130,0.53 %,VAL,58
Cell Arc Slew (ns),MAPE,CTS to detailed route,ASAP7,1.01 %,VAL,58
Cell Arc Slew (ns),MAPE,global route to detailed route,NG45,0.00 %,VAL,58
Cell Arc Slew (ns),MAPE,global route to detailed route,SKY130,0.00 %,VAL,58
Cell Arc Slew (ns),MAPE,global route to detailed route,IHP130,0.00 %,VAL,58
Cell Arc Slew (ns),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,58
Cell Arc Slew (ns),R^2,floorplan to detailed route,NG45,< -1,VAL,59
Cell Arc Slew (ns),R^2,floorplan to detailed route,SKY130,< -1,VAL,59
Cell Arc Slew (ns),R^2,floorplan to detailed route,IHP130,< -1,VAL,59
Cell Arc Slew (ns),R^2,floorplan to detailed route,ASAP7,< -1,VAL,59
Cell Arc Slew (ns),R^2,global place to detailed route,NG45,0.332,VAL,59
Cell Arc Slew (ns),R^2,global place to detailed route,SKY130,0.414,VAL,59
Cell Arc Slew (ns),R^2,global place to detailed route,IHP130,0.965,VAL,59
Cell Arc Slew (ns),R^2,global place to detailed route,ASAP7,0.878,VAL,59
Cell Arc Slew (ns),R^2,detailed place to detailed route,NG45,0.786,VAL,59
Cell Arc Slew (ns),R^2,detailed place to detailed route,SKY130,0.427,VAL,59
Cell Arc Slew (ns),R^2,detailed place to detailed route,IHP130,0.987,VAL,59
Cell Arc Slew (ns),R^2,detailed place to detailed route,ASAP7,0.911,VAL,59
Cell Arc Slew (ns),R^2,CTS to detailed route,NG45,0.973,VAL,59
Cell Arc Slew (ns),R^2,CTS to detailed route,SKY130,0.938,VAL,59
Cell Arc Slew (ns),R^2,CTS to detailed route,IHP130,0.994,VAL,59
Cell Arc Slew (ns),R^2,CTS to detailed route,ASAP7,0.964,VAL,59
Cell Arc Slew (ns),R^2,global route to detailed route,NG45,1.000,VAL,59
Cell Arc Slew (ns),R^2,global route to detailed route,SKY130,1.000,VAL,59
Cell Arc Slew (ns),R^2,global route to detailed route,IHP130,1.000,VAL,59
Cell Arc Slew (ns),R^2,global route to detailed route,ASAP7,1.000,VAL,59
